route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
316470308,17_平日(共通),8b42dbe2-385e-41fd-9f0b-cf3d0f1d1756,市役所経由,,,,31318 9,0,0
316470308,17_平日(共通),ce051fa3-adb2-4adf-8e47-021d9d5e3a65,市役所経由,,,,31318 9,0,0
316470308,17_平日(共通),31ca3142-db17-4973-a18b-429f78e06f9b,市役所経由,,,,31318 9,0,0
316470308,17_平日(共通),b0bdbed3-6289-4c95-8c96-335ddcbaf9c7,市役所経由,,,,31318 9,0,0
316470308,17_平日(共通),ce28ea32-3328-4f9d-b487-5f9fc1ff6153,市役所経由,,,,31318 9,0,0
316470308,17_平日(共通),fa613b0f-6e24-45be-8d4e-789a7044338f,市役所経由,,,,31318 9,0,0
316470308,17_平日(共通),e113b47a-b642-4ca3-ab6e-847690376248,市役所経由,,,,31318 9,0,0
316470308,17_平日(共通),dada668c-452d-4635-b7ba-8dc3379bbb44,市役所経由,,,,31318 9,0,0
316470308,17_平日(共通),1689cd3e-ef85-4337-8f75-678139541e99,市役所経由,,,,31318 9,0,0
170965342,16_土曜(共通),93f8ec88-d21d-445f-93cd-c4ae7bc2cbec,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_平日(共通),b2151165-e458-4bdc-a50b-dc8721cdc435,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_平日(共通),f40f1b6b-6f89-4f48-9ee3-d29a63f0cfb7,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_土曜(共通),6522b675-37ac-452e-8d90-b10ec5bdf526,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_平日(共通),84080bb6-8105-4d6a-82b9-bcc30d0f731d,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_日祝(共通),6897ca55-127a-415f-b0d2-bebcb91de8bb,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_土曜(共通),d6ff1931-c216-4a59-841a-e3dde9477c32,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_日祝(共通),59c74064-e511-434f-9445-e48da8acf0a2,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_土曜(共通),41cea20a-6835-4017-bd21-e0de7d4328ba,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_平日(共通),75ce5dcb-8b95-42d6-b37b-de6876bfc890,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_平日(共通),91ddeacc-b136-4c28-9891-f206c4f37d50,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_日祝(共通),86da5ff7-580b-4949-8eae-ea8958ea2df8,東観音台線・湯来線,,,,30101 0,0,0
170965342,16_平日(共通),3b99ead2-a1f6-4205-864f-fcbc054accdb,東観音台線・湯来線,,,,30101 0,0,0
